2010 Federal Election House of Representatives Two Party Preferred By Polling Place [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-22T07:44:31 Cycle:616f42f6-2035-4b88-9530-8ecd800c5267 Created:2010-08-22T07:29:29 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
ACT,101,Canberra,8829,Barton,1399,63.91,790,36.09,2189,2.73
ACT,101,Canberra,11877,Bonython,1219,59.55,828,40.45,2047,-1.78
ACT,101,Canberra,11452,Calwell,1566,60.46,1024,39.54,2590,0.95
ACT,101,Canberra,8794,Canberra Hospital,513,61.14,326,38.86,839,-2.89
ACT,101,Canberra,8761,Chapman,1688,59.31,1158,40.69,2846,-1.9
ACT,101,Canberra,8763,Chisholm,1021,56.22,795,43.78,1816,-6.65
ACT,101,Canberra,58708,City CANBERRA PPVC,0,0,0,0,0,-37.2
ACT,101,Canberra,31298,Conder,2021,58.01,1463,41.99,3484,-1.03
ACT,101,Canberra,8764,Curtin,1867,63.5,1073,36.5,2940,-0.23
ACT,101,Canberra,8766,Deakin,789,46.58,905,53.42,1694,-2.99
ACT,101,Canberra,30092,Divisional Office (PREPOLL),954,58.56,675,41.44,1629,21.33
ACT,101,Canberra,8767,Duffy,1300,64.68,710,35.32,2010,-1.72
ACT,101,Canberra,8768,Fadden,1266,54.24,1068,45.76,2334,-2.49
ACT,101,Canberra,8769,Farrer,327,78.99,87,21.01,414,23.83
ACT,101,Canberra,8771,Gilmore,1237,56.95,935,43.05,2172,-3.21
ACT,101,Canberra,12072,Gordon,2351,58.92,1639,41.08,3990,0.8
ACT,101,Canberra,8772,Gowrie,1125,56,884,44,2009,-3.53
ACT,101,Canberra,8817,Griffith,1024,57.37,761,42.63,1785,-1.46
ACT,101,Canberra,8773,Holder,1135,59.74,765,40.26,1900,-5.16
ACT,101,Canberra,8774,Hughes,1609,58.34,1149,41.66,2758,-3.6
ACT,101,Canberra,8884,Isabella Plains,1622,61.81,1002,38.19,2624,-0.1
ACT,101,Canberra,8776,Kambah North,1450,59.52,986,40.48,2436,-6.9
ACT,101,Canberra,8777,Kambah South,1289,65.2,688,34.8,1977,-2.36
ACT,101,Canberra,8778,Kambah West,1725,61.28,1090,38.72,2815,-2.76
ACT,101,Canberra,8779,Lyons,298,86.13,48,13.87,346,17.52
ACT,101,Canberra,8780,Mawson,1448,56.81,1101,43.19,2549,-4.05
ACT,101,Canberra,8781,Monash,1672,57.32,1245,42.68,2917,-3.16
ACT,101,Canberra,8782,Narrabundah,1354,65.28,720,34.72,2074,-3.82
ACT,101,Canberra,32706,Norfolk Island PPVC,0,0,0,0,0,-37.18
ACT,101,Canberra,8783,Oaks Estate,98,72.06,38,27.94,136,3.27
ACT,101,Canberra,8784,Pearce,1870,60.91,1200,39.09,3070,-3.81
ACT,101,Canberra,58809,Prison Mobile Team 1,0,0,0,0,0,-55.56
ACT,101,Canberra,8785,Red Hill,1258,56.77,958,43.23,2216,-1.97
ACT,101,Canberra,8786,Richardson,1033,58.83,723,41.17,1756,-4.55
ACT,101,Canberra,32712,Special Hospital Team 1,0,0,0,0,0,-48.86
ACT,101,Canberra,58810,Special Hospital Team 2,0,0,0,0,0,-48.84
ACT,101,Canberra,58811,Special Hospital Team 3,0,0,0,0,0,-49.09
ACT,101,Canberra,46425,Stirling,548,58.05,396,41.95,944,-9.9
ACT,101,Canberra,8788,Tharwa,60,47.62,66,52.38,126,-1.34
ACT,101,Canberra,11878,Theodore,1044,59.18,720,40.82,1764,-0.97
ACT,101,Canberra,32704,Tuggeranong PPVC,4216,56.84,3201,43.16,7417,19.61
ACT,101,Canberra,8790,Wanniassa,1565,61.66,973,38.34,2538,-5.24
ACT,101,Canberra,8791,Wanniassa Hills,1556,62.77,923,37.23,2479,-0.11
ACT,101,Canberra,8792,Waramanga,1748,63.29,1014,36.71,2762,-1.77
ACT,101,Canberra,8793,Weston,918,63.14,536,36.86,1454,-1.66
ACT,101,Canberra,32705,Woden PPVC,3711,57.23,2773,42.77,6484,20.01
ACT,101,Canberra,8840,Yarralumla,1046,58.08,755,41.92,1801,-3.17
ACT,102,Fraser,8801,Ainslie North,1729,76.47,532,23.53,2261,-0.99
ACT,102,Fraser,8804,Ainslie South,635,76.78,192,23.22,827,2.07
ACT,102,Fraser,38197,Amaroo,1688,55.67,1344,44.33,3032,4.3
ACT,102,Fraser,8803,Aranda,2037,73.12,749,26.88,2786,-1.27
ACT,102,Fraser,8805,Belconnen,1632,65.31,867,34.69,2499,-1.57
ACT,102,Fraser,32464,Belconnen PPVC,0,0,0,0,0,-65.88
ACT,102,Fraser,8802,Braddon,1364,72.51,517,27.49,1881,0.24
ACT,102,Fraser,12073,Bruce,546,61.01,349,38.99,895,0
ACT,102,Fraser,8806,Campbell,1031,48.91,1077,51.09,2108,-6.34
ACT,102,Fraser,8807,Charnwood,2222,63.59,1272,36.41,3494,-0.7
ACT,102,Fraser,8808,City,1042,70.6,434,29.4,1476,-0.44
ACT,102,Fraser,32465,City FRASER PPVC,0,0,0,0,0,-65.88
ACT,102,Fraser,8809,Dickson,1093,69.62,477,30.38,1570,0.64
ACT,102,Fraser,30093,Divisional Office (PREPOLL),0,0,0,0,0,-65.9
ACT,102,Fraser,8810,Downer,853,68.68,389,31.32,1242,-4.19
ACT,102,Fraser,8812,Evatt,2117,64.21,1180,35.79,3297,-0.14
ACT,102,Fraser,8813,Evatt South,1052,66.58,528,33.42,1580,1.68
ACT,102,Fraser,8814,Florey,1286,63.66,734,36.34,2020,-2.38
ACT,102,Fraser,34238,Fraser Central,1885,61.14,1198,38.86,3083,-1.72
ACT,102,Fraser,8816,Giralang,1208,63.78,686,36.22,1894,-5.12
ACT,102,Fraser,34240,Gungahlin,1493,55.15,1214,44.85,2707,6.43
ACT,102,Fraser,38504,Gungahlin PPVC,0,0,0,0,0,-65.89
ACT,102,Fraser,8819,Hall,137,51.7,128,48.3,265,5.38
ACT,102,Fraser,47681,Harrison,1069,52.66,961,47.34,2030,2.37
ACT,102,Fraser,8821,Holt,1428,53.56,1238,46.44,2666,-11.63
ACT,102,Fraser,8822,Jervis Bay,30,53.57,26,46.43,56,1.04
ACT,102,Fraser,8823,Kaleen,1736,63.99,977,36.01,2713,-0.67
ACT,102,Fraser,8824,Kaleen South,1081,62.56,647,37.44,1728,-4.8
ACT,102,Fraser,8825,Latham,1487,64.93,803,35.07,2290,-0.68
ACT,102,Fraser,8826,Lyneham,2314,76.8,699,23.2,3013,1.95
ACT,102,Fraser,8827,Macgregor,1403,66.91,694,33.09,2097,1.34
ACT,102,Fraser,8828,Macquarie,1319,70.53,551,29.47,1870,-0.2
ACT,102,Fraser,8830,Melba,1279,65.36,678,34.64,1957,-3.1
ACT,102,Fraser,32463,Ngunnawal,1386,63.4,800,36.6,2186,2.13
ACT,102,Fraser,34239,Ngunnawal South,627,63.4,362,36.6,989,1.19
ACT,102,Fraser,32081,Nicholls,1642,52.66,1476,47.34,3118,0.3
ACT,102,Fraser,38198,O'Connor,630,69.84,272,30.16,902,-6.25
ACT,102,Fraser,8832,Page,1356,64.76,738,35.24,2094,-1.18
ACT,102,Fraser,31626,Palmerston,1590,64.35,881,35.65,2471,4.55
ACT,102,Fraser,8833,Reid,442,62.17,269,37.83,711,-2.44
ACT,102,Fraser,8834,Scullin,1150,69.15,513,30.85,1663,2.66
ACT,102,Fraser,32467,Special Hospital Team 1,0,0,0,0,0,-52.54
ACT,102,Fraser,32468,Special Hospital Team 2,0,0,0,0,0,-51.64
ACT,102,Fraser,8836,Turner,1645,76.58,503,23.42,2148,-0.61
ACT,102,Fraser,8837,Watson,2183,73.23,798,26.77,2981,1.14
ACT,102,Fraser,8838,Weetangera,1453,63.95,819,36.05,2272,-0.82
ACT,102,Fraser,8839,Wreck Bay,59,86.76,9,13.24,68,-9.07
NSW,103,Banks,31,Allawah,756,52.94,672,47.06,1428,-16.55
NSW,103,Banks,67,Allawah South,593,53.76,510,46.24,1103,-11.65
NSW,103,Banks,56500,Beverly Hills North (Banks),264,59.73,178,40.27,442,-4.14
NSW,103,Banks,2646,Beverly Hills South,779,56.08,610,43.92,1389,-11.72
NSW,103,Banks,36,Blakehurst,233,35.09,431,64.91,664,-10.18
NSW,103,Banks,46,Blakehurst North,407,50.62,397,49.38,804,-6.02
NSW,103,Banks,33,Blakehurst South,394,27.75,1026,72.25,1420,-6.07
NSW,103,Banks,56472,Carlton South (Banks),249,60.88,160,39.12,409,-6.71
NSW,103,Banks,65,Carlton West (Banks),719,52.64,647,47.36,1366,-10.27
NSW,103,Banks,42,Connells Point,809,31.54,1756,68.46,2565,-10.16
NSW,103,Banks,30094,Divisional Office (PREPOLL),0,0,0,0,0,-36.31
NSW,103,Banks,2663,Hurstville,1208,55.85,955,44.15,2163,-17.69
NSW,103,Banks,44,Hurstville Central,68,46.58,78,53.42,146,-11.34
NSW,103,Banks,2664,Hurstville East,1087,55.04,888,44.96,1975,-14.06
NSW,103,Banks,45,Hurstville Grove,1021,43.76,1312,56.24,2333,-11.47
NSW,103,Banks,2665,Hurstville North,1076,52.87,959,47.13,2035,-15
NSW,103,Banks,34046,Hurstville PPVC,2098,50.82,2030,49.18,4128,14.47
NSW,103,Banks,4,Lugarno,1049,36.16,1852,63.84,2901,-4.65
NSW,103,Banks,55,Mortdale Central,995,56.66,761,43.34,1756,-5.87
NSW,103,Banks,56,Mortdale East,808,55,661,45,1469,-6.56
NSW,103,Banks,57,Mortdale Heights,527,49.62,535,50.38,1062,-3.47
NSW,103,Banks,5,Mortdale West,1137,54.32,956,45.68,2093,-7.97
NSW,103,Banks,6,Narwee,1528,56.74,1165,43.26,2693,-9.04
NSW,103,Banks,58,Oatley,1158,43.45,1507,56.55,2665,-7.33
NSW,103,Banks,59,Oatley West,1094,44.47,1366,55.53,2460,-5.49
