2010 Federal Election Senate First Preferences By Group By Vote Type [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T10:58:49 Cycle:f2df425d-21bf-4293-96d7-3a4a8347c546 Created:2010-09-07T10:49:21 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
ALP,Australian Labor Party,3750536,35.64,175147,32.71,13569,38.68,108859,31.38,202632,33.81,4250743,35.30
LNP,Liberal/Nationals,2260927,21.48,94587,17.66,4900,13.97,78486,22.63,147028,24.53,2585928,21.48
GRN,The Greens,1357491,12.90,88519,16.53,4725,13.47,51432,14.83,56751,9.47,1558918,12.95
LP,Liberal,898388,8.54,50741,9.48,2710,7.72,34051,9.82,51316,8.56,1037206,8.61
FFP,Family First,222333,2.11,12207,2.28,1261,3.59,5534,1.60,10869,1.81,252204,2.09
DEM,Democrats,65519,0.62,3070,0.57,184,0.52,2503,0.72,4068,0.68,75344,0.63
CDP,CDP Christian Party,107034,1.02,5689,1.06,371,1.06,2990,0.86,5780,0.96,121864,1.01
DLP,DLP - Democratic Labor Party,109585,1.04,6866,1.28,548,1.56,3775,1.09,5699,0.95,126473,1.05
ON,One Nation,56693,0.54,3558,0.66,240,0.68,2009,0.58,3979,0.66,66479,0.55
CLP,CLP - The Territory Party,34791,0.33,581,0.11,92,0.26,1894,0.55,1600,0.27,38958,0.32
ASP,Australian Shooters Party,174967,1.66,11230,2.10,775,2.21,6412,1.85,9081,1.52,202465,1.68
AFLP,Australian Fishing and Lifestyle Party,40333,0.38,2354,0.44,230,0.66,1112,0.32,2034,0.34,46063,0.38
CA,Carers Alliance,21761,0.21,1066,0.20,76,0.22,548,0.16,2970,0.50,26421,0.22
NP,The Nationals,34087,0.32,3100,0.58,101,0.29,1493,0.43,1958,0.33,40739,0.34
LDP,LDP,178011,1.69,13409,2.50,873,2.49,9609,2.77,11877,1.98,213779,1.78
SAL,Socialist Alliance,28316,0.27,1228,0.23,118,0.34,524,0.15,487,0.08,30673,0.25
CEC,Citizens Electoral Council,11836,0.11,509,0.10,78,0.22,315,0.09,513,0.09,13251,0.11
SOL,Senator On-Line,15126,0.14,715,0.13,86,0.25,313,0.09,478,0.08,16718,0.14
NCP,Non-Custodial Parents Party,2900,0.03,219,0.04,23,0.07,119,0.03,129,0.02,3390,0.03
SEP,Socialist Equality Party,11522,0.11,544,0.10,49,0.14,277,0.08,311,0.05,12703,0.11
FST,Australia First Party,8079,0.08,448,0.08,54,0.15,192,0.06,413,0.07,9186,0.08
ASXP,Australian Sex Party,211714,2.01,17325,3.24,1139,3.25,6791,1.96,6566,1.10,243535,2.02
BAP,Building Australia Party,13986,0.13,1008,0.19,93,0.27,437,0.13,588,0.10,16112,0.13
CAL,Communist Alliance,5876,0.06,341,0.06,28,0.08,213,0.06,130,0.02,6588,0.05
LNQ,Liberal National Party,826492,7.85,37483,7.00,2453,6.99,24352,7.02,68188,11.38,958968,7.96
SPA,Secular Party of Australia,9616,0.09,522,0.10,35,0.10,301,0.09,532,0.09,11006,0.09
TCS,The Climate Sceptics,20698,0.20,1125,0.21,85,0.24,895,0.26,1247,0.21,24050,0.20
UNAM,Unendorsed/Ungrouped Amalgamated,46065,0.44,1898,0.35,188,0.54,1461,0.42,2140,0.36,51752,0.43
