2010 Federal Election House of Representatives Two Party Preferred By Division [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T12:01:19 Cycle:043007b8-5b97-4142-9feb-94afbdb4ae61 Created:2010-09-07T11:49:37 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
DivisionNm,DivisionID,StateAb,PartyAb,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
Adelaide,179,SA,,48385,57.72,35447,42.28,83832,-0.81
Aston,197,VIC,,40997,48.34,43821,51.66,84818,3.39
Ballarat,198,VIC,,54520,61.52,34099,38.48,88619,3.37
Banks,103,NSW,,43154,51.45,40715,48.55,83869,-8.92
Barker,180,SA,,34527,37.12,58477,62.88,93004,-3.43
Barton,104,NSW,,44238,56.69,33799,43.31,78037,-8.25
Bass,192,TAS,,37165,56.74,28337,43.26,65502,5.71
Batman,199,VIC,,0,0,0,0,0,-75.95
Bendigo,200,VIC,,54423,59.69,36749,40.31,91172,3.56
Bennelong,105,NSW,,39589,46.56,45437,53.44,85026,-4.84
Berowra,106,NSW,,28693,33.77,56276,66.23,84969,-6.22
Blair,304,QLD,,39672,54.05,33730,45.95,73402,-2.93
Blaxland,107,NSW,,45834,62.37,27649,37.63,73483,-4.28
Bonner,310,QLD,,38237,47.42,42396,52.58,80633,-7.11
Boothby,182,SA,,42004,49.23,43322,50.77,85326,2.16
Bowman,155,QLD,,32487,39.64,49458,60.36,81945,-10.36
Braddon,193,TAS,,37647,57.48,27850,42.52,65497,5.16
Bradfield,108,NSW,,27297,31.75,58667,68.25,85964,-4.39
Brand,235,WA,,41620,53.34,36415,46.66,78035,-2.64
Brisbane,156,QLD,,39018,48.95,40686,51.05,79704,-5.65
Bruce,201,VIC,,44172,58.11,31839,41.89,76011,-0.21
Calare,109,NSW,,34953,39.17,54291,60.83,89244,-7.37
Calwell,203,VIC,,61091,69.77,26466,30.23,87557,0.44
Canberra,101,ACT,,65832,59.15,45471,40.85,111303,-2.67
Canning,236,WA,,38303,47.81,41818,52.19,80121,2.16
Capricornia,157,QLD,,43174,53.71,37212,46.29,80386,-8.37
Casey,204,VIC,,38453,45.83,45444,54.17,83897,1.76
Charlton,110,NSW,,51657,62.75,30661,37.25,82318,-0.16
Chifley,111,NSW,,50240,62.51,30132,37.49,80372,-7.17
Chisholm,205,VIC,,43481,56.14,33969,43.86,77450,-1.24
Cook,112,NSW,,32332,36.96,55151,63.04,87483,-6.7
Corangamite,207,VIC,,47275,50.41,46506,49.59,93781,-0.44
Corio,208,VIC,,53061,64.23,29554,35.77,82615,5.3
Cowan,237,WA,,34990,43.71,45064,56.29,80054,-5.01
Cowper,113,NSW,,34458,40.7,50207,59.3,84665,-8.06
Cunningham,114,NSW,,56309,63.26,32706,36.74,89015,-3.61
Curtin,238,WA,,27501,33.74,54013,66.26,81514,-3
Dawson,158,QLD,,39481,47.6,43470,52.4,82951,-4.99
Deakin,209,VIC,,41963,52.45,38037,47.55,80000,1.04
Denison,194,TAS,,0,0,0,0,0,-65.29
Dickson,252,QLD,,36536,44.86,44915,55.14,81451,-5.9
Dobell,115,NSW,,45517,55.03,37202,44.97,82719,1.1
Dunkley,210,VIC,,42036,48.99,43764,51.01,85800,3.03
Durack,312,WA,,25784,36.36,45131,63.64,70915,-5.99
Eden-Monaro,117,NSW,,46244,54.18,39109,45.82,85353,1.89
Fadden,159,QLD,,26281,35.71,47312,64.29,73593,-3.86
Fairfax,160,QLD,,34034,43.05,45032,56.95,79066,-3.98
Farrer,118,NSW,,29426,35.5,53475,64.5,82901,-3.31
Fisher,161,QLD,,33735,45.8,39918,54.2,73653,-0.67
Flinders,211,VIC,,36720,40.84,53201,59.16,89921,-0.91
Flynn,311,QLD,,36910,46.35,42720,53.65,79630,-5.89
Forde,162,QLD,,33990,48.38,36271,51.62,70261,-4.98
Forrest,239,WA,,33257,41.26,47343,58.74,80600,-3.26
Fowler,119,NSW,,43207,58.84,30225,41.16,73432,-13.73
Franklin,195,TAS,,39856,60.82,25675,39.18,65531,6.79
Fraser,102,ACT,,70867,64.24,39456,35.76,110323,-0.83
Fremantle,240,WA,,45806,55.62,36551,44.38,82357,-3.52
Gellibrand,212,VIC,,60179,74.2,20922,25.8,81101,2.74
Gilmore,120,NSW,,38661,44.69,47841,55.31,86502,-5.72
Gippsland,213,VIC,,33868,38.44,54235,61.56,88103,-5.65
Goldstein,214,VIC,,36811,43.53,47747,56.47,84558,-0.42
Gorton,309,VIC,,68473,72.31,26227,27.69,94700,1.09
Grayndler,121,NSW,,0,0,0,0,0,-74.85
Greenway,122,NSW,,40017,50.84,38688,49.16,78705,-4.83
Grey,183,SA,,34388,38.86,54100,61.14,88488,-6.71
Griffith,163,QLD,,46320,58.49,32877,41.51,79197,-3.83
Groom,164,QLD,,26595,31.47,57909,68.53,84504,-10.31
Hasluck,305,WA,,40770,49.42,41726,50.58,82496,-1.43
Herbert,165,QLD,,37862,47.92,41155,52.08,79017,-2.11
Higgins,215,VIC,,34339,43.39,44796,56.61,79135,0.43
Hindmarsh,185,SA,,49567,55.57,39635,44.43,89202,0.52
Hinkler,166,QLD,,32029,39.65,48750,60.35,80779,-8.83
Holt,216,VIC,,60412,63.23,35133,36.77,95545,1.6
Hotham,217,VIC,,48679,63.64,27807,36.36,76486,0.64
Hughes,124,NSW,,38546,44.84,47424,55.16,85970,-4.62
Hume,125,NSW,,36149,41.24,51507,58.76,87656,-3.41
Hunter,126,NSW,,50833,62.51,30481,37.49,81314,-3.17
Indi,218,VIC,,33559,39.99,50349,60.01,83908,-0.82
Isaacs,219,VIC,,54777,60.97,35067,39.03,89844,3.28
Jagajaga,220,VIC,,52530,61.53,32845,38.47,85375,2.55
Kennedy,167,QLD,,0,0,0,0,0,-42.71
Kingsford Smith,127,NSW,,43625,55.02,35666,44.98,79291,-8.24
Kingston,186,SA,,58696,63.92,33138,36.08,91834,9.5
Kooyong,221,VIC,,33738,41.78,47013,58.22,80751,1.31
La Trobe,223,VIC,,45319,50.92,43677,49.08,88996,1.43
Lalor,222,VIC,,73705,72.28,28268,27.72,101973,6.75
Leichhardt,168,QLD,,36273,45.44,43552,54.56,79825,-8.62
Lilley,169,QLD,,46252,53.2,40695,46.8,86947,-4.75
Lindsay,128,NSW,,42622,51.18,40656,48.82,83278,-5.1
Lingiari,306,NT,,22826,53.84,19568,46.16,42394,-7.32
Longman,302,QLD,,36289,48.09,39177,51.91,75466,-3.78
Lyne,130,NSW,,0,0,0,0,0,-41.2
Lyons,196,TAS,,40959,62.29,24796,37.71,65755,3.95
Macarthur,131,NSW,,36553,46.97,41274,53.03,77827,-3.54
Mackellar,132,NSW,,29855,34.28,57245,65.72,87100,-3.34
