2010 Federal Election Senate First Preferences By Group By Vote Type By State [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T11:30:03 Cycle:15b97fb7-5572-4499-a32e-cf37bbf253f2 Created:2010-09-07T11:19:27 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,ALP,Labor,1294583,37.03,58133,34.76,4869,42.16,35619,32.27,54557,34.36,1447761,36.71
NSW,LNP,Liberal/Nationals,1365435,39.06,58760,35.14,3412,29.54,43951,39.82,72453,45.62,1544011,39.15
NSW,GRN,The Greens,362436,10.37,21931,13.11,1159,10.03,13997,12.68,11221,7.07,410744,10.41
NSW,CDP,Christian Democratic Party (Fred Nile Group),68242,1.95,3187,1.91,238,2.06,1757,1.59,3340,2.10,76764,1.95
NSW,DLP,Democratic Labor Party (DLP) of Australia,25778,0.74,1536,0.92,136,1.18,983,0.89,1030,0.65,29463,0.75
NSW,DEM,Australian Democrats,23163,0.66,1069,0.64,73,0.63,869,0.79,1213,0.76,26387,0.67
NSW,FFP,Family First,32105,0.92,2092,1.25,235,2.03,1197,1.08,1358,0.86,36987,0.94
NSW,ON,One Nation,19101,0.55,1084,0.65,66,0.57,674,0.61,1149,0.72,22074,0.56
NSW,CA,Carers Alliance,9214,0.26,396,0.24,24,0.21,204,0.18,838,0.53,10676,0.27
NSW,LDP,Liberal Democrats (LDP),74201,2.12,5691,3.40,347,3.00,3789,3.43,4946,3.11,88974,2.26
NSW,SAL,Socialist Alliance,20606,0.59,724,0.43,82,0.71,294,0.27,231,0.15,21937,0.56
NSW,NCP,Non-Custodial Parents Party (Equal Parenting),2900,0.08,216,0.13,23,0.20,118,0.11,128,0.08,3385,0.09
NSW,SOL,Senator On-Line,2561,0.07,123,0.07,12,0.10,59,0.05,55,0.03,2810,0.07
NSW,CEC,Citizens Electoral Council of Australia,4985,0.14,218,0.13,32,0.28,121,0.11,125,0.08,5481,0.14
NSW,SEP,Socialist Equality Party,3025,0.09,229,0.14,17,0.15,113,0.10,83,0.05,3467,0.09
NSW,ASXP,Australian Sex Party,61051,1.75,4671,2.79,288,2.49,2081,1.89,1277,0.80,69368,1.76
NSW,ASP,Shooters and Fishers,81096,2.32,5020,3.00,320,2.77,2910,2.64,3199,2.01,92545,2.35
NSW,BAP,Building Australia,8897,0.25,618,0.37,65,0.56,280,0.25,316,0.20,10176,0.26
NSW,CAL,Communist,5876,0.17,339,0.20,28,0.24,211,0.19,128,0.08,6582,0.17
NSW,SPA,Secular Party of Australia,3220,0.09,161,0.10,13,0.11,94,0.09,117,0.07,3605,0.09
NSW,TCS,The Climate Sceptics,7236,0.21,352,0.21,23,0.20,259,0.23,308,0.19,8178,0.21
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,20466,0.59,682,0.41,88,0.76,790,0.72,731,0.46,22757,0.58
VIC,ALP,Australian Labor Party,1006470,38.42,42294,34.79,2325,39.95,30007,33.00,65401,36.63,1146497,38.01
VIC,LNP,Liberal/The Nationals,895474,34.18,35194,28.95,1488,25.57,33882,37.26,74271,41.60,1040309,34.49
VIC,GRN,Australian Greens,377616,14.41,25022,20.58,896,15.40,15634,17.19,18520,10.37,437688,14.51
VIC,FFP,Family First,70579,2.69,3213,2.64,259,4.45,1682,1.85,3642,2.04,79375,2.63
VIC,DEM,Australian Democrats,12704,0.48,556,0.46,21,0.36,522,0.57,965,0.54,14768,0.49
VIC,DLP,Democratic Labor Party (DLP) of Australia,60087,2.29,3560,2.93,241,4.14,1989,2.19,3659,2.05,69536,2.31
VIC,ASP,Shooters and Fishers,35447,1.35,1889,1.55,83,1.43,1309,1.44,2370,1.33,41098,1.36
VIC,ON,One Nation,9639,0.37,463,0.38,24,0.41,333,0.37,705,0.39,11164,0.37
